u,v,key,osmid,oneway,name,highway,reversed,length,lanes,geometry,service,access
258765078,2373448004,0,228683650,False,中之島通,tertiary,False,206.20860562214932,,"LINESTRING (135.5011135 34.6942704, 135.5009012 34.6942703, 135.5008359 34.6942704, 135.500232 34.6942711, 135.4996895 34.6942717, 135.4989323 34.6942726, 135.498858 34.6942726)",,
258765078,417252601,0,"[658187859, 658187860, 533370311]",True,御堂筋,trunk,False,104.91531339167442,8,"LINESTRING (135.5011135 34.6942704, 135.5011018 34.6941032, 135.5010889 34.6939451, 135.5010829 34.6938723, 135.5010742 34.6937652, 135.5010586 34.6936369, 135.501038 34.6934681, 135.5010325 34.6934121, 135.5010237 34.6933299)",,
266728634,3999758385,0,1102752833,True,曽根崎通,trunk,False,65.72521394261572,3,"LINESTRING (135.5102956 34.6975132, 135.5102586 34.6975157, 135.5097182 34.6975508, 135.509579 34.6975607)",,
266731187,1906134843,0,1009793063,True,曽根崎通,trunk,False,64.51362268474242,3,"LINESTRING (135.515184 34.6971768, 135.51499 34.6971898, 135.5145918 34.6972142, 135.5144804 34.6972212)",,
266731187,1867168682,0,1024499861,False,壷屋町筋,unclassified,False,68.05375428477889,,"LINESTRING (135.515184 34.6971768, 135.5151765 34.6970926, 135.5151236 34.6965668)",,
266731188,266731187,0,1009793063,True,曽根崎通,trunk,False,97.89742030563785,3,"LINESTRING (135.5162507 34.6970995, 135.515184 34.6971768)",,
266731188,2005577340,0,1028107334,False,岩井町筋,unclassified,False,67.24389390450754,,"LINESTRING (135.5162507 34.6970995, 135.516243 34.6970141, 135.5161966 34.6964964)",,
266731189,2375956076,0,228947439,True,信保町筋,unclassified,False,68.37029365403365,,"LINESTRING (135.5167547 34.6970673, 135.516743 34.6969928, 135.5166887 34.6964549)",,
266731189,266731188,0,1009793063,True,曽根崎通,trunk,False,46.21744748415117,3,"LINESTRING (135.5167547 34.6970673, 135.5163513 34.6970915, 135.5162507 34.6970995)",,
266731191,1715704329,0,1101022390,True,天満橋筋,primary,False,15.1429372822703,3,"LINESTRING (135.5179685 34.6970004, 135.5179743 34.6971365)",,
266731191,1894099521,0,1101022391,True,曽根崎通,trunk,False,70.93610851305802,3,"LINESTRING (135.5179685 34.6970004, 135.5177516 34.6970087, 135.5173235 34.6970296, 135.5171938 34.697036)",,
308165644,8486075159,0,154410796,True,阪神高速1号環状線,motorway,False,97.11677585313211,3,"LINESTRING (135.5000037 34.6950305, 135.5005024 34.6950289, 135.50094 34.6950213, 135.5010658 34.6950179)",,
345570622,5017837826,0,874525538,False,,tertiary,False,5.628998053854895,2,"LINESTRING (135.4981148 34.7076451, 135.4980831 34.7076885)",,
345570622,1854423580,0,172889911,True,万歳橋筋,unclassified,False,88.24743353454632,1,"LINESTRING (135.4981148 34.7076451, 135.4981869 34.7076532, 135.4983867 34.7076755, 135.4985539 34.7076923, 135.498592 34.7076924, 135.4986656 34.7076852, 135.4987382 34.7076772, 135.4988448 34.7076391, 135.4989212 34.7075925, 135.4990165 34.7075251)",,
345570622,1839325760,0,874525538,False,,tertiary,True,56.59688207897539,2,"LINESTRING (135.4981148 34.7076451, 135.4983485 34.7072518, 135.4983784 34.7071849)",,
345570623,5017837826,0,874525538,False,,tertiary,True,30.093199759580035,2,"LINESTRING (135.4979065 34.7079169, 135.4980831 34.7076885)",,
345570623,1852349828,0,874525538,False,,tertiary,False,38.41060612841689,2,"LINESTRING (135.4979065 34.7079169, 135.4978121 34.7080196, 135.4977728 34.7080689, 135.4977494 34.7081099, 135.4977354 34.7081612, 135.4977344 34.7082211)",,
345570624,1852349828,0,484580805,False,,unclassified,True,16.219585166477437,,"LINESTRING (135.4975592 34.7082442, 135.4977344 34.7082211)",,
