station_key,name,station_uid_count,osm_id_count,station_uids,osm_ids,refs,names_local,operators,networks,railway_tags,public_transport_tags,lat_mean,lon_mean,merged_station_id
wikidata::Q1038083,Nagahoribashi,4,4,node::538718331 | node::538721524 | node::7948009781 | node::8260808105,node/538718331 | node/538721524 | node/7948009781 | node/8260808105,K16 | N16,長堀橋,Osaka Metro,,stop,stop_position,34.675077775,135.5063799,merge::wikidata::Q1038083
wikidata::Q1038365,Dobutsuen-mae,4,4,node::534132524 | node::538718289 | node::7811945096 | node::8260808084,node/534132524 | node/538718289 | node/7811945096 | node/8260808084,M22,動物園前,Osaka Metro,,stop,stop_position,34.64872565,135.504048125,merge::wikidata::Q1038365
wikidata::Q1039923,Minami-Morimachi,2,2,node::1964006760 | node::8256784380,node/1964006760 | node/8256784380,,南森町,,,stop,stop_position,34.69759895,135.51116860000002,merge::wikidata::Q1039923
wikidata::Q1039923,Minami-morimachi;Minami-Morimachi,2,2,node::536381594 | node::8260835833,node/536381594 | node/8260835833,T21,南森町,Osaka Metro,,stop,stop_position,34.69757655,135.51100585,merge::wikidata::Q1039923
wikidata::Q1040630,Nippombashi,2,2,node::538718325 | node::8260808100,node/538718325 | node/8260808100,,日本橋,,,stop,stop_position,34.666718599999996,135.50615134999998,merge::wikidata::Q1040630
wikidata::Q1041967,Tanimachi 6-chome,4,4,node::536381550 | node::538721576 | node::7948033299 | node::8256784551,node/536381550 | node/538721576 | node/7948033299 | node/8256784551,T24 | N18,谷町六丁目,Osaka Metro,,stop,stop_position,34.675564925,135.517601225,merge::wikidata::Q1041967
wikidata::Q1041977,Tanimachi 9-chome,2,2,node::536381546 | node::8256784543,node/536381546 | node/8256784543,T25,谷町九丁目,Osaka Metro,,stop,stop_position,34.6670844,135.51584014999997,merge::wikidata::Q1041977
wikidata::Q1042492,Gamo 4-chome,4,4,node::538721772 | node::538724159 | node::7948033368 | node::12508256200,node/538721772 | node/538724159 | node/7948033368 | node/12508256200,N23 | I18,蒲生四丁目,Osaka Metro,,stop,stop_position,34.700762350000005,135.547388,merge::wikidata::Q1042492
wikidata::Q1042508,Taishibashi-Imaichi,4,4,node::538724478 | node::549722947 | node::8256784363 | node::12508282347,node/538724478 | node/549722947 | node/8256784363 | node/12508282347,I14 | T13,太子橋今市,Osaka Metro,,stop,stop_position,34.73125745,135.555463925,merge::wikidata::Q1042508
wikidata::Q1042837,Kitahama,2,2,node::538718386 | node::8260808114,node/538718386 | node/8260808114,,北浜,,,stop,stop_position,34.6911726,135.5065798,merge::wikidata::Q1042837
wikidata::Q1043084,Temmabashi,2,2,node::536381568 | node::8256784561,node/536381568 | node/8256784561,T22,天満橋,Osaka Metro,,stop,stop_position,34.68972035,135.51727435,merge::wikidata::Q1043084
wikidata::Q1074425,Sakaisuji-Hommachi,4,4,node::537521118 | node::538718337 | node::7944112736 | node::8260808109,node/537521118 | node/538718337 | node/7944112736 | node/8260808109,C17 | K15,堺筋本町,Osaka Metro,,stop,stop_position,34.682246975,135.50669595,merge::wikidata::Q1074425
wikidata::Q1074440,Shinsaibashi,2,2,node::538721475 | node::7948009777,node/538721475 | node/7948009777,N15,心斎橋,Osaka Metro,,stop,stop_position,34.67535615,135.49920120000002,merge::wikidata::Q1074440
wikidata::Q112719,Nishiohashi,2,2,node::538721479 | node::7948009772,node/538721479 | node/7948009772,N14,西大橋,Osaka Metro,,stop,stop_position,34.67549775,135.49447329999998,merge::wikidata::Q112719
wikidata::Q1131017,Bentencho,2,2,node::537520788 | node::7756610829,node/537520788 | node/7756610829,C13,弁天町,Osaka Metro,,stop,stop_position,34.6684181,135.46209340000001,merge::wikidata::Q1131017
