merged_station_id,station_key,name,name_local,station_uid,osm_id,ref,wikidata,operator,network,railway,public_transport,lat,lon
merge::wikidata::Q1074425,wikidata::Q1074425,Sakaisuji-Hommachi,堺筋本町,node::7944112736,node/7944112736,C17,Q1074425,Osaka Metro,,stop,stop_position,34.6818955,135.5069338
merge::wikidata::Q1074425,wikidata::Q1074425,Sakaisuji-Hommachi,堺筋本町,node::8260808109,node/8260808109,K15,Q1074425,,,stop,stop_position,34.6826169,135.5064858
merge::wikidata::Q1074440,wikidata::Q1074440,Shinsaibashi,心斎橋,node::538721475,node/538721475,N15,Q1074440,Osaka Metro,,stop,stop_position,34.6753372,135.4991998
merge::wikidata::Q1074440,wikidata::Q1074440,Shinsaibashi,心斎橋,node::7948009777,node/7948009777,N15,Q1074440,Osaka Metro,,stop,stop_position,34.6753751,135.4992026
merge::wikidata::Q112719,wikidata::Q112719,Nishiohashi,西大橋,node::538721479,node/538721479,N14,Q112719,Osaka Metro,,stop,stop_position,34.6754786,135.4944713
merge::wikidata::Q112719,wikidata::Q112719,Nishiohashi,西大橋,node::7948009772,node/7948009772,N14,Q112719,Osaka Metro,,stop,stop_position,34.6755169,135.4944753
merge::wikidata::Q1131017,wikidata::Q1131017,Bentencho,弁天町,node::537520788,node/537520788,C13,Q1131017,Osaka Metro,,stop,stop_position,34.6684336,135.4620861
merge::wikidata::Q1131017,wikidata::Q1131017,Bentencho,弁天町,node::7756610829,node/7756610829,C13,Q1131017,Osaka Metro,,stop,stop_position,34.6684026,135.4621007
merge::wikidata::Q1131039,wikidata::Q1131039,Tamatsukuri,玉造,node::538721634,node/538721634,N19,Q1131039,Osaka Metro,,stop,stop_position,34.6745896,135.530474
merge::wikidata::Q1131039,wikidata::Q1131039,Tamatsukuri,玉造,node::7948033312,node/7948033312,N19,Q1131039,Osaka Metro,,stop,stop_position,34.6746356,135.5304734
merge::wikidata::Q1131146,wikidata::Q1131146,Morinomiya,森ノ宮,node::537521123,node/537521123,C19,Q1131146,Osaka Metro,,stop,stop_position,34.6814583,135.5320332
merge::wikidata::Q1131146,wikidata::Q1131146,Morinomiya,森ノ宮,node::538721697,node/538721697,N20,Q1131146,Osaka Metro,,stop,stop_position,34.6821935,135.5334135
merge::wikidata::Q1131146,wikidata::Q1131146,Morinomiya,森ノ宮,node::7944112719,node/7944112719,C19,Q1131146,Osaka Metro,,stop,stop_position,34.6814987,135.5320338
merge::wikidata::Q1131146,wikidata::Q1131146,Morinomiya,森ノ宮,node::7948033332,node/7948033332,N20,Q1131146,Osaka Metro,,stop,stop_position,34.6821897,135.5333548
merge::wikidata::Q1131158,wikidata::Q1131158,Taisho,大正,node::538721423,node/538721423,N11,Q1131158,Osaka Metro,,stop,stop_position,34.665509,135.4786099
merge::wikidata::Q1131158,wikidata::Q1131158,Taisho,大正,node::7948033416,node/7948033416,N11,Q1131158,Osaka Metro,,stop,stop_position,34.6655282,135.4785502
merge::wikidata::Q1131699,wikidata::Q1131699,Midoribashi,緑橋,node::12508256182,node/12508256182,I20,Q1131699,Osaka Metro,,stop,stop_position,34.6814459,135.5445946
merge::wikidata::Q1131699,wikidata::Q1131699,Midoribashi,緑橋,node::537521131,node/537521131,C20,Q1131699,Osaka Metro,,stop,stop_position,34.6806358,135.545739
merge::wikidata::Q1131699,wikidata::Q1131699,Midoribashi,緑橋,node::538724124,node/538724124,I20,Q1131699,Osaka Metro,,stop,stop_position,34.6814409,135.5446355
merge::wikidata::Q1131699,wikidata::Q1131699,Midoribashi,緑橋,node::7944112708,node/7944112708,C20,Q1131699,Osaka Metro,,stop,stop_position,34.6806757,135.5457466
merge::wikidata::Q1131709,wikidata::Q1131709,Tanimachi 4-chome,谷町四丁目,node::536381552,node/536381552,T23,Q1131709,Osaka Metro,,stop,stop_position,34.6823572,135.5173427
merge::wikidata::Q1131709,wikidata::Q1131709,Tanimachi 4-chome,谷町四丁目,node::537521116,node/537521116,C18,Q1131709,,,stop,stop_position,34.6814302,135.517465
merge::wikidata::Q1131709,wikidata::Q1131709,Tanimachi 4-chome,谷町四丁目,node::7944112730,node/7944112730,C18,Q1131709,,,stop,stop_position,34.6814704,135.5174698
