merged_station_id,station_key,name,names_local,refs,station_uid_count,osm_id_count,operators,networks,railway_tags,public_transport_tags,lat_mean,lon_mean,station_uids,osm_ids
merge::name::フェリーターミナル,name::フェリーターミナル,フェリーターミナル,フェリーターミナル,,2,2,,,stop,stop_position,34.61925065,135.43495815,node::8729045329 | node::8729045331,node/8729045329 | node/8729045331
merge::name::ポートタウン東,name::ポートタウン東,ポートタウン東,ポートタウン東,,1,1,,,stop,stop_position,34.6308463,135.4291443,node::8729045309,node/8729045309
merge::name::ポートタウン西,name::ポートタウン西,ポートタウン西,ポートタウン西,,2,2,,,stop,stop_position,34.6309039,135.42281305,node::8729045270 | node::8729045271,node/8729045270 | node/8729045271
merge::name::住之江公園,name::住之江公園,住之江公園,住之江公園,,1,1,,,stop,stop_position,34.6091781,135.4719142,node::8729045450,node/8729045450
merge::name::南港口,name::南港口,南港口,南港口,,2,2,,,stop,stop_position,34.613820399999994,135.44593965,node::8729045379 | node::8729045380,node/8729045379 | node/8729045380
merge::name::南港東,name::南港東,南港東,南港東,,2,2,,,stop,stop_position,34.61382565,135.4386312,node::8729045356 | node::8729045364,node/8729045356 | node/8729045364
merge::name::平林,name::平林,平林,平林,,2,2,,,stop,stop_position,34.61066395,135.45862935000002,node::8729045402 | node::8729045410,node/8729045402 | node/8729045410
merge::wikidata::Q1038083,wikidata::Q1038083,Nagahoribashi,長堀橋,K16 | N16,4,4,Osaka Metro,,stop,stop_position,34.675077775,135.5063799,node::538718331 | node::538721524 | node::7948009781 | node::8260808105,node/538718331 | node/538721524 | node/7948009781 | node/8260808105
merge::wikidata::Q1038365,wikidata::Q1038365,Dobutsuen-mae,動物園前,M22,4,4,Osaka Metro,,stop,stop_position,34.64872565,135.504048125,node::534132524 | node::538718289 | node::7811945096 | node::8260808084,node/534132524 | node/538718289 | node/7811945096 | node/8260808084
merge::wikidata::Q1039923,wikidata::Q1039923,Minami-Morimachi,南森町,,2,2,,,stop,stop_position,34.69759895,135.51116860000002,node::1964006760 | node::8256784380,node/1964006760 | node/8256784380
merge::wikidata::Q1039923,wikidata::Q1039923,Minami-morimachi;Minami-Morimachi,南森町,T21,2,2,Osaka Metro,,stop,stop_position,34.69757655,135.51100585,node::536381594 | node::8260835833,node/536381594 | node/8260835833
merge::wikidata::Q1040630,wikidata::Q1040630,Nippombashi,日本橋,,2,2,,,stop,stop_position,34.666718599999996,135.50615134999998,node::538718325 | node::8260808100,node/538718325 | node/8260808100
merge::wikidata::Q1041967,wikidata::Q1041967,Tanimachi 6-chome,谷町六丁目,T24 | N18,4,4,Osaka Metro,,stop,stop_position,34.675564925,135.517601225,node::536381550 | node::538721576 | node::7948033299 | node::8256784551,node/536381550 | node/538721576 | node/7948033299 | node/8256784551
